"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016790","GO:0016790","thiolester hydrolase activity","1/403","11/5050",0.599794133084134,0.999999782271627,0.890688065181206,"FASN",1
"GO:0031690","GO:0031690","adrenergic receptor binding","1/403","11/5050",0.599794133084134,0.999999782271627,0.890688065181206,"GNAS",1
"GO:0035035","GO:0035035","histone acetyltransferase binding","1/403","11/5050",0.599794133084134,0.999999782271627,0.890688065181206,"EGR1",1
"GO:0035259","GO:0035259","glucocorticoid receptor binding","1/403","11/5050",0.599794133084134,0.999999782271627,0.890688065181206,"NR4A1",1
"GO:0043027","GO:0043027","cysteine-type endopeptidase inhibitor activity involved in apoptotic process","1/403","11/5050",0.599794133084134,0.999999782271627,0.890688065181206,"PRDX5",1
"GO:0043425","GO:0043425","bHLH transcription factor binding","1/403","11/5050",0.599794133084134,0.999999782271627,0.890688065181206,"BHLHE40",1
"GO:0090482","GO:0090482","vitamin transmembrane transporter activity","1/403","11/5050",0.599794133084134,0.999999782271627,0.890688065181206,"SLC44A4",1
"GO:0004518","GO:0004518","nuclease activity","3/403","39/5050",0.61237510410666,0.999999782271627,0.890688065181206,"RPS3/TRIR/AZGP1",3
"GO:0072341","GO:0072341","modified amino acid binding","3/403","39/5050",0.61237510410666,0.999999782271627,0.890688065181206,"HSPA8/GNMT/FASN",3
"GO:0030546","GO:0030546","signaling receptor activator activity","10/403","132/5050",0.61672171572259,0.999999782271627,0.890688065181206,"TIMP1/GDF15/NPY/RLN1/CCN2/MDK/CCL2/SCGB3A1/PTN/AGT",10
"GO:0005310","GO:0005310","dicarboxylic acid transmembrane transporter activity","1/403","12/5050",0.631801071835294,0.999999782271627,0.890688065181206,"SLC26A3",1
"GO:0016769","GO:0016769","transferase activity, transferring nitrogenous groups","1/403","12/5050",0.631801071835294,0.999999782271627,0.890688065181206,"GAPDH",1
"GO:0030021","GO:0030021","extracellular matrix structural constituent conferring compression resistance","1/403","12/5050",0.631801071835294,0.999999782271627,0.890688065181206,"FMOD",1
"GO:0046625","GO:0046625","sphingolipid binding","1/403","12/5050",0.631801071835294,0.999999782271627,0.890688065181206,"PSAP",1
"GO:0016853","GO:0016853","isomerase activity","5/403","68/5050",0.641891345711679,0.999999782271627,0.890688065181206,"TPI1/P4HB/PDIA3/PDIA4/GSTA1",5
"GO:0005496","GO:0005496","steroid binding","3/403","41/5050",0.646670143869484,0.999999782271627,0.890688065181206,"APOD/TSPO/CAV1",3
"GO:0030246","GO:0030246","carbohydrate binding","6/403","83/5050",0.660105777017419,0.999999782271627,0.890688065181206,"CALR/LGALS1/HLA-DRA/GANAB/SFTPA2/HLA-DRB1",6
"GO:0031267","GO:0031267","small GTPase binding","6/403","83/5050",0.660105777017419,0.999999782271627,0.890688065181206,"PFN1/FLNA/BRK1/CDC42EP5/ERRFI1/CAV1",6
"GO:0005484","GO:0005484","SNAP receptor activity","1/403","13/5050",0.661254062714686,0.999999782271627,0.890688065181206,"VAMP8",1
"GO:0008080","GO:0008080","N-acetyltransferase activity","1/403","13/5050",0.661254062714686,0.999999782271627,0.890688065181206,"SAT1",1
"GO:0015252","GO:0015252","proton channel activity","1/403","13/5050",0.661254062714686,0.999999782271627,0.890688065181206,"ATP5F1B",1
"GO:0016830","GO:0016830","carbon-carbon lyase activity","1/403","13/5050",0.661254062714686,0.999999782271627,0.890688065181206,"ODC1",1
"GO:0044390","GO:0044390","ubiquitin-like protein conjugating enzyme binding","1/403","13/5050",0.661254062714686,0.999999782271627,0.890688065181206,"RPS3",1
"GO:0046933","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","1/403","13/5050",0.661254062714686,0.999999782271627,0.890688065181206,"ATP5F1B",1
"GO:0050681","GO:0050681","androgen receptor binding","1/403","13/5050",0.661254062714686,0.999999782271627,0.890688065181206,"CALR",1
"GO:0051861","GO:0051861","glycolipid binding","1/403","13/5050",0.661254062714686,0.999999782271627,0.890688065181206,"PSAP",1
"GO:0140297","GO:0140297","DNA-binding transcription factor binding","11/403","150/5050",0.661458723503434,0.999999782271627,0.890688065181206,"CALR/FOS/ACTB/JUN/JUND/NR4A1/RPS3/CHCHD2/HSPB1/BHLHE40/PTMA",11
"GO:0005261","GO:0005261","cation channel activity","4/403","56/5050",0.664233025800491,0.999999782271627,0.890688065181206,"SEC61A1/TRPM8/ATP5F1B/CHRNA2",4
"GO:0004222","GO:0004222","metalloendopeptidase activity","2/403","28/5050",0.666795570167696,0.999999782271627,0.890688065181206,"MMP7/MIPEP",2
"GO:0140104","GO:0140104","molecular carrier activity","2/403","28/5050",0.666795570167696,0.999999782271627,0.890688065181206,"HSPA8/CLU",2
"GO:0001228","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","8/403","111/5050",0.671066952312693,0.999999782271627,0.890688065181206,"FOS/JUN/FOSB/JUND/NR4A1/EGR1/JUNB/CEBPD",8
"GO:0005125","GO:0005125","cytokine activity","4/403","57/5050",0.677991471065074,0.999999782271627,0.890688065181206,"TIMP1/GDF15/CCL2/SCGB3A1",4
"GO:0031490","GO:0031490","chromatin DNA binding","3/403","43/5050",0.678762669821704,0.999999782271627,0.890688065181206,"H1-2/ACTB/H1-0",3
"GO:0001216","GO:0001216","DNA-binding transcription activator activity","8/403","112/5050",0.680944495596675,0.999999782271627,0.890688065181206,"FOS/JUN/FOSB/JUND/NR4A1/EGR1/JUNB/CEBPD",8
"GO:0019905","GO:0019905","syntaxin binding","2/403","29/5050",0.685719739337228,0.999999782271627,0.890688065181206,"TMED9/VAMP8",2
"GO:0003924","GO:0003924","GTPase activity","9/403","126/5050",0.685784619862093,0.999999782271627,0.890688065181206,"EEF1A1/EEF1A2/EEF2/TUBB4B/ARF1/GNB2/RHOU/RHOB/GNAS",9
"GO:0004129","GO:0004129","cytochrome-c oxidase activity","1/403","14/5050",0.688356427758558,0.999999782271627,0.890688065181206,"COX8A",1
"GO:0004364","GO:0004364","glutathione transferase activity","1/403","14/5050",0.688356427758558,0.999999782271627,0.890688065181206,"GSTA1",1
"GO:0008138","GO:0008138","protein tyrosine/serine/threonine phosphatase activity","1/403","14/5050",0.688356427758558,0.999999782271627,0.890688065181206,"DUSP1",1
"GO:0016706","GO:0016706","2-oxoglutarate-dependent dioxygenase activity","1/403","14/5050",0.688356427758558,0.999999782271627,0.890688065181206,"P4HB",1
"GO:0042169","GO:0042169","SH2 domain binding","1/403","14/5050",0.688356427758558,0.999999782271627,0.890688065181206,"RACK1",1
"GO:0048020","GO:0048020","CCR chemokine receptor binding","1/403","14/5050",0.688356427758558,0.999999782271627,0.890688065181206,"CCL2",1
"GO:0015291","GO:0015291","secondary active transmembrane transporter activity","4/403","58/5050",0.691353729931536,0.999999782271627,0.890688065181206,"SLC45A3/SLC25A6/SLC26A3/SLCO2A1",4
"GO:0016758","GO:0016758","hexosyltransferase activity","4/403","59/5050",0.704318566719387,0.999999782271627,0.890688065181206,"RPN2/PYGB/B4GALT1/CHPF",4
"GO:0016887","GO:0016887","ATP hydrolysis activity","6/403","87/5050",0.70459979555654,0.999999782271627,0.890688065181206,"HSP90AA1/HSPA8/HSPA5/MYH3/HSPA6/HSPA1B",6
"GO:0004527","GO:0004527","exonuclease activity","1/403","15/5050",0.71329533951656,0.999999782271627,0.890688065181206,"TRIR",1
"GO:0008028","GO:0008028","monocarboxylic acid transmembrane transporter activity","1/403","15/5050",0.71329533951656,0.999999782271627,0.890688065181206,"ABCC4",1
"GO:0016597","GO:0016597","amino acid binding","1/403","15/5050",0.71329533951656,0.999999782271627,0.890688065181206,"GNMT",1
"GO:0016675","GO:0016675","oxidoreductase activity, acting on a heme group of donors","1/403","15/5050",0.71329533951656,0.999999782271627,0.890688065181206,"COX8A",1
"GO:0030515","GO:0030515","snoRNA binding","1/403","15/5050",0.71329533951656,0.999999782271627,0.890688065181206,"NOP10",1
"GO:0050750","GO:0050750","low-density lipoprotein particle receptor binding","1/403","15/5050",0.71329533951656,0.999999782271627,0.890688065181206,"CLU",1
"GO:0120013","GO:0120013","lipid transfer activity","1/403","15/5050",0.71329533951656,0.999999782271627,0.890688065181206,"TSPO",1
"GO:0030545","GO:0030545","signaling receptor regulator activity","10/403","143/5050",0.715981514792876,0.999999782271627,0.890688065181206,"TIMP1/GDF15/NPY/RLN1/CCN2/MDK/CCL2/SCGB3A1/PTN/AGT",10
"GO:0060090","GO:0060090","molecular adaptor activity","10/403","143/5050",0.715981514792876,0.999999782271627,0.890688065181206,"HSPA8/COL1A2/RACK1/TCAP/JCHAIN/VAMP8/GNB2/LPL/CAV1/SYNPO2",10
"GO:0061629","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","8/403","116/5050",0.718590171151711,0.999999782271627,0.890688065181206,"CALR/FOS/ACTB/JUN/JUND/NR4A1/HSPB1/BHLHE40",8
"GO:0004197","GO:0004197","cysteine-type endopeptidase activity","2/403","31/5050",0.720920697721226,0.999999782271627,0.890688065181206,"CAPNS1/PDIA3",2
"GO:0004725","GO:0004725","protein tyrosine phosphatase activity","2/403","31/5050",0.720920697721226,0.999999782271627,0.890688065181206,"ACP3/DUSP1",2
"GO:0016810","GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","2/403","31/5050",0.720920697721226,0.999999782271627,0.890688065181206,"KLK3/FAAH",2
"GO:0008134","GO:0008134","transcription factor binding","16/403","226/5050",0.731461351772094,0.999999782271627,0.890688065181206,"CALR/RPL23/FOS/FLNA/ACTB/JUN/FOSB/JUND/NR4A1/RPS3/CHCHD2/HSPB1/SMARCA1/BHLHE40/PTMA/JUNB",16
"GO:0017111","GO:0017111","nucleoside-triphosphatase activity","15/403","213/5050",0.734186735851613,0.999999782271627,0.890688065181206,"HSP90AA1/HSPA8/HSPA5/EEF1A1/EEF1A2/EEF2/TUBB4B/ARF1/GNB2/RHOU/RHOB/MYH3/HSPA6/HSPA1B/GNAS",15
"GO:0004879","GO:0004879","nuclear receptor activity","1/403","16/5050",0.736243100822385,0.999999782271627,0.890688065181206,"NR4A1",1
"GO:0005504","GO:0005504","fatty acid binding","1/403","16/5050",0.736243100822385,0.999999782271627,0.890688065181206,"GSTA1",1
"GO:0043539","GO:0043539","protein serine/threonine kinase activator activity","1/403","16/5050",0.736243100822385,0.999999782271627,0.890688065181206,"LTF",1
"GO:0050699","GO:0050699","WW domain binding","1/403","16/5050",0.736243100822385,0.999999782271627,0.890688065181206,"PMEPA1",1
"GO:0098531","GO:0098531","ligand-activated transcription factor activity","1/403","16/5050",0.736243100822385,0.999999782271627,0.890688065181206,"NR4A1",1
"GO:0050660","GO:0050660","flavin adenine dinucleotide binding","2/403","32/5050",0.737241940176917,0.999999782271627,0.890688065181206,"MAOB/ACAD8",2
"GO:0015075","GO:0015075","ion transmembrane transporter activity","16/403","227/5050",0.737862006415886,0.999999782271627,0.890688065181206,"COX8A/SLC45A3/SLC25A6/CLDN4/SLC39A6/SLC44A4/SLC39A7/ABCC4/ATP6V1G1/SEC61A1/TRPM8/SLC26A3/SLCO2A1/ATP5F1B/CHRNA2/CLIC4",16
"GO:0003725","GO:0003725","double-stranded RNA binding","2/403","33/5050",0.752743332875289,0.999999782271627,0.890688065181206,"HSP90AB1/TUBB4B",2
"GO:1990782","GO:1990782","protein tyrosine kinase binding","2/403","33/5050",0.752743332875289,0.999999782271627,0.890688065181206,"HSP90AA1/RACK1",2
"GO:0001046","GO:0001046","core promoter sequence-specific DNA binding","1/403","17/5050",0.75735832338269,0.999999782271627,0.890688065181206,"FOS",1
"GO:0016620","GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","1/403","17/5050",0.75735832338269,0.999999782271627,0.890688065181206,"GAPDH",1
"GO:0030544","GO:0030544","Hsp70 protein binding","1/403","17/5050",0.75735832338269,0.999999782271627,0.890688065181206,"RPS3",1
"GO:0043531","GO:0043531","ADP binding","1/403","17/5050",0.75735832338269,0.999999782271627,0.890688065181206,"ACTA1",1
"GO:1901505","GO:1901505","carbohydrate derivative transmembrane transporter activity","1/403","17/5050",0.75735832338269,0.999999782271627,0.890688065181206,"SLC25A6",1
"GO:0008022","GO:0008022","protein C-terminus binding","5/403","78/5050",0.757420562290629,0.999999782271627,0.890688065181206,"PABPC1/CCN2/BCAM/YWHAQ/FN1",5
"GO:0019842","GO:0019842","vitamin binding","3/403","49/5050",0.761947274498519,0.999999782271627,0.890688065181206,"GNMT/FASN/PYGB",3
"GO:0015078","GO:0015078","proton transmembrane transporter activity","4/403","64/5050",0.763218131868668,0.999999782271627,0.890688065181206,"COX8A/SLC45A3/ATP6V1G1/ATP5F1B",4
"GO:0004722","GO:0004722","protein serine/threonine phosphatase activity","2/403","34/5050",0.767451426276212,0.999999782271627,0.890688065181206,"MYH3/DUSP1",2
"GO:0019003","GO:0019003","GDP binding","2/403","34/5050",0.767451426276212,0.999999782271627,0.890688065181206,"ARF1/RHOB",2
"GO:0019888","GO:0019888","protein phosphatase regulator activity","2/403","34/5050",0.767451426276212,0.999999782271627,0.890688065181206,"PPP1R1B/PTN",2
"GO:0019955","GO:0019955","cytokine binding","3/403","50/5050",0.773968767828668,0.999999782271627,0.890688065181206,"CD74/ZFP36/TCAP",3
"GO:0008009","GO:0008009","chemokine activity","1/403","18/5050",0.776787013165479,0.999999782271627,0.890688065181206,"CCL2",1
"GO:0070325","GO:0070325","lipoprotein particle receptor binding","1/403","18/5050",0.776787013165479,0.999999782271627,0.890688065181206,"CLU",1
"GO:1990841","GO:1990841","promoter-specific chromatin binding","1/403","18/5050",0.776787013165479,0.999999782271627,0.890688065181206,"EGR1",1
"GO:0035591","GO:0035591","signaling adaptor activity","2/403","35/5050",0.781393761926609,0.999999782271627,0.890688065181206,"RACK1/GNB2",2
"GO:0022836","GO:0022836","gated channel activity","3/403","51/5050",0.785489365603394,0.999999782271627,0.890688065181206,"TRPM8/CHRNA2/CLIC4",3
"GO:0004896","GO:0004896","cytokine receptor activity","1/403","19/5050",0.794663569940978,0.999999782271627,0.890688065181206,"CD74",1
"GO:0008170","GO:0008170","N-methyltransferase activity","1/403","19/5050",0.794663569940978,0.999999782271627,0.890688065181206,"GNMT",1
"GO:0030159","GO:0030159","signaling receptor complex adaptor activity","1/403","19/5050",0.794663569940978,0.999999782271627,0.890688065181206,"GNB2",1
"GO:0035064","GO:0035064","methylated histone binding","1/403","19/5050",0.794663569940978,0.999999782271627,0.890688065181206,"NCAPD3",1
"GO:0051536","GO:0051536","iron-sulfur cluster binding","1/403","19/5050",0.794663569940978,0.999999782271627,0.890688065181206,"RPS3",1
"GO:0051540","GO:0051540","metal cluster binding","1/403","19/5050",0.794663569940978,0.999999782271627,0.890688065181206,"RPS3",1
"GO:0051879","GO:0051879","Hsp90 protein binding","1/403","19/5050",0.794663569940978,0.999999782271627,0.890688065181206,"RPS3",1
"GO:0070888","GO:0070888","E-box binding","1/403","19/5050",0.794663569940978,0.999999782271627,0.890688065181206,"BHLHE40",1
"GO:0140034","GO:0140034","methylation-dependent protein binding","1/403","19/5050",0.794663569940978,0.999999782271627,0.890688065181206,"NCAPD3",1
"GO:0008237","GO:0008237","metallopeptidase activity","3/403","52/5050",0.796520733866697,0.999999782271627,0.890688065181206,"ANPEP/MMP7/MIPEP",3
"GO:0016462","GO:0016462","pyrophosphatase activity","16/403","239/5050",0.806998898839839,0.999999782271627,0.890688065181206,"HSP90AA1/HSPA8/HSPA5/EEF1A1/EEF1A2/EEF2/TUBB4B/CANT1/ARF1/GNB2/RHOU/RHOB/MYH3/HSPA6/HSPA1B/GNAS",16
"GO:0016817","GO:0016817","hydrolase activity, acting on acid anhydrides","16/403","239/5050",0.806998898839839,0.999999782271627,0.890688065181206,"HSP90AA1/HSPA8/HSPA5/EEF1A1/EEF1A2/EEF2/TUBB4B/CANT1/ARF1/GNB2/RHOU/RHOB/MYH3/HSPA6/HSPA1B/GNAS",16
"GO:0016818","GO:0016818","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","16/403","239/5050",0.806998898839839,0.999999782271627,0.890688065181206,"HSP90AA1/HSPA8/HSPA5/EEF1A1/EEF1A2/EEF2/TUBB4B/CANT1/ARF1/GNB2/RHOU/RHOB/MYH3/HSPA6/HSPA1B/GNAS",16
"GO:0004930","GO:0004930","G protein-coupled receptor activity","3/403","53/5050",0.807075179750181,0.999999782271627,0.890688065181206,"OR51E2/NPY/OR51E1",3
"GO:0008194","GO:0008194","UDP-glycosyltransferase activity","2/403","37/5050",0.807094370179843,0.999999782271627,0.890688065181206,"B4GALT1/CHPF",2
"GO:0008238","GO:0008238","exopeptidase activity","2/403","37/5050",0.807094370179843,0.999999782271627,0.890688065181206,"ANPEP/DPP7",2
"GO:0017124","GO:0017124","SH3 domain binding","2/403","37/5050",0.807094370179843,0.999999782271627,0.890688065181206,"ERRFI1/GPX1",2
"GO:0016538","GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity","1/403","20/5050",0.811111707749324,0.999999782271627,0.890688065181206,"CDKN1A",1
"GO:0051018","GO:0051018","protein kinase A binding","1/403","20/5050",0.811111707749324,0.999999782271627,0.890688065181206,"RPS3",1
"GO:0016746","GO:0016746","acyltransferase activity","4/403","69/5050",0.812589240050113,0.999999782271627,0.890688065181206,"ACLY/FASN/TGM4/SAT1",4
"GO:0004553","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","2/403","38/5050",0.818909968343926,0.999999782271627,0.890688065181206,"GANAB/LYZ",2
"GO:0008289","GO:0008289","lipid binding","17/403","256/5050",0.823014495167455,0.999999782271627,0.890688065181206,"PEBP1/PSAP/HSPA8/PFN1/LTF/PLA2G2A/ALOX15B/HDLBP/APOD/TSPO/IGHM/JCHAIN/LPL/SERPINA5/SPON2/GSTA1/CAV1",17
"GO:0003684","GO:0003684","damaged DNA binding","1/403","21/5050",0.826245302536008,0.999999782271627,0.890688065181206,"RPS3",1
"GO:0008094","GO:0008094","ATP-dependent activity, acting on DNA","1/403","21/5050",0.826245302536008,0.999999782271627,0.890688065181206,"SMARCA1",1
"GO:0016410","GO:0016410","N-acyltransferase activity","1/403","21/5050",0.826245302536008,0.999999782271627,0.890688065181206,"SAT1",1
"GO:0016903","GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors","1/403","21/5050",0.826245302536008,0.999999782271627,0.890688065181206,"GAPDH",1
"GO:0070063","GO:0070063","RNA polymerase binding","1/403","21/5050",0.826245302536008,0.999999782271627,0.890688065181206,"ZFP36",1
"GO:0005525","GO:0005525","GTP binding","9/403","145/5050",0.829756179498661,0.999999782271627,0.890688065181206,"HSP90AB1/EEF1A1/EEF1A2/EEF2/TUBB4B/ARF1/RHOU/RHOB/GNAS",9
"GO:0000149","GO:0000149","SNARE binding","2/403","39/5050",0.830074015059454,0.999999782271627,0.890688065181206,"TMED9/VAMP8",2
"GO:0043177","GO:0043177","organic acid binding","2/403","39/5050",0.830074015059454,0.999999782271627,0.890688065181206,"GNMT/SERPINA5",2
"GO:0140097","GO:0140097","catalytic activity, acting on DNA","2/403","39/5050",0.830074015059454,0.999999782271627,0.890688065181206,"RPS3/SMARCA1",2
"GO:0030170","GO:0030170","pyridoxal phosphate binding","1/403","22/5050",0.840169172704628,0.999999782271627,0.890688065181206,"PYGB",1
"GO:0070279","GO:0070279","vitamin B6 binding","1/403","22/5050",0.840169172704628,0.999999782271627,0.890688065181206,"PYGB",1
"GO:0005085","GO:0005085","guanyl-nucleotide exchange factor activity","2/403","40/5050",0.840614951100084,0.999999782271627,0.890688065181206,"EEF1B2/RHOU",2
"GO:0019001","GO:0019001","guanyl nucleotide binding","9/403","147/5050",0.841393609830653,0.999999782271627,0.890688065181206,"HSP90AB1/EEF1A1/EEF1A2/EEF2/TUBB4B/ARF1/RHOU/RHOB/GNAS",9
"GO:0032561","GO:0032561","guanyl ribonucleotide binding","9/403","147/5050",0.841393609830653,0.999999782271627,0.890688065181206,"HSP90AB1/EEF1A1/EEF1A2/EEF2/TUBB4B/ARF1/RHOU/RHOB/GNAS",9
"GO:0016922","GO:0016922","nuclear receptor binding","3/403","57/5050",0.844785867365685,0.999999782271627,0.890688065181206,"CALR/JUND/NR4A1",3
"GO:0016757","GO:0016757","glycosyltransferase activity","4/403","73/5050",0.84574840154239,0.999999782271627,0.890688065181206,"RPN2/PYGB/B4GALT1/CHPF",4
"GO:0019904","GO:0019904","protein domain specific binding","17/403","262/5050",0.849790417177089,0.999999782271627,0.890688065181206,"HSP90AA1/HSP90AB1/HSPA8/PMEPA1/HSPA5/JUN/RACK1/BASP1/TCAP/GAPDH/ARF1/BHLHE40/ERRFI1/YWHAQ/FN1/GPX1/HSPA1B",17
"GO:0002039","GO:0002039","p53 binding","1/403","23/5050",0.852979797883632,0.999999782271627,0.890688065181206,"EEF2",1
"GO:0004540","GO:0004540","ribonuclease activity","1/403","23/5050",0.852979797883632,0.999999782271627,0.890688065181206,"AZGP1",1
"GO:0017069","GO:0017069","snRNA binding","1/403","23/5050",0.852979797883632,0.999999782271627,0.890688065181206,"EIF5A",1
"GO:0030145","GO:0030145","manganese ion binding","1/403","23/5050",0.852979797883632,0.999999782271627,0.890688065181206,"B4GALT1",1
"GO:0004721","GO:0004721","phosphoprotein phosphatase activity","3/403","58/5050",0.853154893043911,0.999999782271627,0.890688065181206,"ACP3/MYH3/DUSP1",3
"GO:0016788","GO:0016788","hydrolase activity, acting on ester bonds","13/403","207/5050",0.855081458072075,0.999999782271627,0.890688065181206,"ACP3/PLA2G2A/FASN/RPS3/TRIR/FAAH/AZGP1/PDIA3/CA3/MYH3/DUSP1/CA2/LPL",13
"GO:0022890","GO:0022890","inorganic cation transmembrane transporter activity","9/403","150/5050",0.857674625823048,0.999999782271627,0.890688065181206,"COX8A/SLC45A3/SLC39A6/SLC39A7/ATP6V1G1/SEC61A1/TRPM8/ATP5F1B/CHRNA2",9
"GO:0051117","GO:0051117","ATPase binding","2/403","42/5050",0.85993924074211,0.999999782271627,0.890688065181206,"ATP6V1G1/CAV1",2
"GO:0000981","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","14/403","223/5050",0.863019416999337,0.999999782271627,0.890688065181206,"ENO1/FOS/XBP1/SPDEF/AEBP1/JUN/FOSB/JUND/HOXB13/NR4A1/EGR1/BHLHE40/JUNB/CEBPD",14
"GO:0004519","GO:0004519","endonuclease activity","1/403","24/5050",0.864765980786536,0.999999782271627,0.890688065181206,"RPS3",1
"GO:0008081","GO:0008081","phosphoric diester hydrolase activity","1/403","24/5050",0.864765980786536,0.999999782271627,0.890688065181206,"PDIA3",1
"GO:0030971","GO:0030971","receptor tyrosine kinase binding","1/403","24/5050",0.864765980786536,0.999999782271627,0.890688065181206,"RACK1",1
"GO:0019208","GO:0019208","phosphatase regulator activity","2/403","43/5050",0.868777122250422,0.999999782271627,0.890688065181206,"PPP1R1B/PTN",2
"GO:0008235","GO:0008235","metalloexopeptidase activity","1/403","25/5050",0.875609456660596,0.999999782271627,0.890688065181206,"ANPEP",1
"GO:0042379","GO:0042379","chemokine receptor binding","1/403","25/5050",0.875609456660596,0.999999782271627,0.890688065181206,"CCL2",1
"GO:0008324","GO:0008324","cation transmembrane transporter activity","10/403","170/5050",0.882865620213334,0.999999782271627,0.890688065181206,"COX8A/SLC45A3/SLC39A6/SLC44A4/SLC39A7/ATP6V1G1/SEC61A1/TRPM8/ATP5F1B/CHRNA2",10
"GO:0005546","GO:0005546","phosphatidylinositol-4,5-bisphosphate binding","1/403","26/5050",0.885585454464731,0.999999782271627,0.890688065181206,"PFN1",1
"GO:0015294","GO:0015294","solute:cation symporter activity","1/403","26/5050",0.885585454464731,0.999999782271627,0.890688065181206,"SLC45A3",1
"GO:0050661","GO:0050661","NADP binding","1/403","26/5050",0.885585454464731,0.999999782271627,0.890688065181206,"GAPDH",1
"GO:0005244","GO:0005244","voltage-gated ion channel activity","1/403","27/5050",0.894763213591068,0.999999782271627,0.890688065181206,"CLIC4",1
"GO:0022832","GO:0022832","voltage-gated channel activity","1/403","27/5050",0.894763213591068,0.999999782271627,0.890688065181206,"CLIC4",1
"GO:0008234","GO:0008234","cysteine-type peptidase activity","2/403","47/5050",0.899237764730091,0.999999782271627,0.890688065181206,"CAPNS1/PDIA3",2
"GO:0046873","GO:0046873","metal ion transmembrane transporter activity","4/403","82/5050",0.902646120403532,0.999999782271627,0.890688065181206,"SLC39A6/SLC39A7/SEC61A1/TRPM8",4
"GO:0001786","GO:0001786","phosphatidylserine binding","1/403","28/5050",0.903206459643785,0.999999782271627,0.890688065181206,"HSPA8",1
"GO:0008013","GO:0008013","beta-catenin binding","1/403","28/5050",0.903206459643785,0.999999782271627,0.890688065181206,"CDH1",1
"GO:0003700","GO:0003700","DNA-binding transcription factor activity","14/403","234/5050",0.903671559633757,0.999999782271627,0.890688065181206,"ENO1/FOS/XBP1/SPDEF/AEBP1/JUN/FOSB/JUND/HOXB13/NR4A1/EGR1/BHLHE40/JUNB/CEBPD",14
"GO:0005342","GO:0005342","organic acid transmembrane transporter activity","2/403","48/5050",0.905751841793117,0.999999782271627,0.890688065181206,"ABCC4/SLC26A3",2
"GO:0046943","GO:0046943","carboxylic acid transmembrane transporter activity","2/403","48/5050",0.905751841793117,0.999999782271627,0.890688065181206,"ABCC4/SLC26A3",2
"GO:0003743","GO:0003743","translation initiation factor activity","1/403","29/5050",0.910973842511876,0.999999782271627,0.890688065181206,"EIF4G2",1
"GO:0003690","GO:0003690","double-stranded DNA binding","20/403","325/5050",0.91746446732118,0.999999782271627,0.890688065181206,"H1-2/ENO1/FOS/XBP1/SPDEF/PRDX5/AEBP1/JUN/FOSB/JUND/HOXB13/NR4A1/YBX1/H1-0/RPS3/EGR1/BASP1/BHLHE40/JUNB/CEBPD",20
"GO:0008757","GO:0008757","S-adenosylmethionine-dependent methyltransferase activity","1/403","30/5050",0.918119339717157,0.999999782271627,0.890688065181206,"GNMT",1
"GO:0030276","GO:0030276","clathrin binding","1/403","30/5050",0.918119339717157,0.999999782271627,0.890688065181206,"CLTA",1
"GO:0106306","GO:0106306","protein serine phosphatase activity","1/403","30/5050",0.918119339717157,0.999999782271627,0.890688065181206,"DUSP1",1
"GO:0106307","GO:0106307","protein threonine phosphatase activity","1/403","30/5050",0.918119339717157,0.999999782271627,0.890688065181206,"DUSP1",1
"GO:1902936","GO:1902936","phosphatidylinositol bisphosphate binding","1/403","30/5050",0.918119339717157,0.999999782271627,0.890688065181206,"PFN1",1
"GO:0016798","GO:0016798","hydrolase activity, acting on glycosyl bonds","2/403","51/5050",0.923010088666362,0.999999782271627,0.890688065181206,"GANAB/LYZ",2
"GO:1990837","GO:1990837","sequence-specific double-stranded DNA binding","18/403","299/5050",0.923757461082785,0.999999782271627,0.890688065181206,"ENO1/FOS/XBP1/SPDEF/PRDX5/AEBP1/JUN/FOSB/JUND/HOXB13/NR4A1/YBX1/RPS3/EGR1/BASP1/BHLHE40/JUNB/CEBPD",18
"GO:0004888","GO:0004888","transmembrane signaling receptor activity","10/403","182/5050",0.925623475835585,0.999999782271627,0.890688065181206,"CD74/HLA-DRA/OR51E2/CLDN4/CLDN3/NPY/OR51E1/BCAM/HLA-DRB1/CHRNA2",10
"GO:0038023","GO:0038023","signaling receptor activity","14/403","245/5050",0.933888418589389,0.999999782271627,0.890688065181206,"CD74/HLA-DRA/ANPEP/OR51E2/CLDN4/CLDN3/NR4A1/NPY/SDC4/OR51E1/TSPO/BCAM/HLA-DRB1/CHRNA2",14
"GO:0060089","GO:0060089","molecular transducer activity","14/403","245/5050",0.933888418589389,0.999999782271627,0.890688065181206,"CD74/HLA-DRA/ANPEP/OR51E2/CLDN4/CLDN3/NR4A1/NPY/SDC4/OR51E1/TSPO/BCAM/HLA-DRB1/CHRNA2",14
